severity,status,rank
UNKNOWN,UNKNOWN,0
UNKNOWN,NON_MALICIOUS,10
UNKNOWN,SUSPICIOUS,50
UNKNOWN,MALICIOUS,90
INFO,UNKNOWN,1
INFO,NON_MALICIOUS,11
INFO,SUSPICIOUS,51
INFO,MALICIOUS,91
WARNING,UNKNOWN,3
WARNING,NON_MALICIOUS,13
WARNING,SUSPICIOUS,53
WARNING,MALICIOUS,93
SUSPICIOUS,UNKNOWN,5
SUSPICIOUS,NON_MALICIOUS,15
SUSPICIOUS,SUSPICIOUS,55
SUSPICIOUS,MALICIOUS,95
SEVERE,UNKNOWN,7
SEVERE,NON_MALICIOUS,17
SEVERE,SUSPICIOUS,57
SEVERE,MALICIOUS,97
APOCALYPSE,UNKNOWN,9
APOCALYPSE,NON_MALICIOUS,19
APOCALYPSE,SUSPICIOUS,59
APOCALYPSE,MALICIOUS,99
